District,Season,Soil_Type,N,P,K,Soil_pH,Temperature,Humidity,Rainfall,Crop
Solapur,Rabi,Black,55,36,58,8.06,25.82,65.18,65.55,Jowar
Solapur,Rabi,Black,55,36,60,7.84,26.95,74.08,72.54,Jowar
Nashik,Kharif,Loamy,62,35,58,6.96,27.48,37.47,112.21,Onion
Solapur,Kharif,Black,54,33,63,8.02,27.25,71.67,71.04,Bajra
Nashik,Kharif,Loamy,63,37,56,6.99,29.65,40.77,82.21,Onion
Solapur,Zaid,Black,51,32,55,7.97,26.37,67.46,58.55,Fodder
Solapur,Kharif,Black,54,35,58,7.71,27.76,77.49,79.3,Bajra
Nashik,Zaid,Loamy,61,40,56,6.37,28.78,31.2,80.1,Vegetables
Pune,Rabi,Black,78,42,52,7.2,20.63,64.24,120.96,Wheat
Pune,Rabi,Black,74,43,54,7.19,20.45,64.8,120.71,Wheat
Nashik,Rabi,Loamy,62,41,58,6.87,28.6,34.87,100.03,Gram
Pune,Rabi,Black,71,40,55,6.89,19.15,54.82,93.22,Wheat
Solapur,Rabi,Black,52,33,62,7.74,28.71,71.65,56.6,Jowar
Solapur,Zaid,Black,49,31,57,7.73,26.91,71.18,90.28,Fodder
Pune,Rabi,Black,72,36,55,7.29,22.04,57.39,89.56,Wheat
Solapur,Zaid,Black,55,37,60,7.52,27.6,77.52,74.33,Fodder
Nashik,Rabi,Loamy,62,38,53,7.03,27.79,31.32,89.28,Gram
Solapur,Kharif,Black,53,37,56,7.85,27.83,68.16,65.6,Bajra
Pune,Zaid,Black,75,36,51,6.8,19.65,59.12,119.47,Vegetables
Pune,Rabi,Black,70,41,53,6.96,21.73,57.33,125.73,Wheat
Solapur,Zaid,Black,54,35,57,7.89,26.68,64.06,86.59,Fodder
Solapur,Kharif,Black,51,34,62,7.55,28.39,78.9,82.75,Bajra
Pune,Rabi,Black,72,38,55,7.42,22.03,57.71,95.07,Wheat
